,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
154,1224695,0.4,False,De Baarsjes - Oud-West,52.37006,4.85853,Entire home/apt,2,1,1,7,$150.00,8,1123,True,0,0,4.77,False,,75.0,1200.0,0.06,0.16,0.24,4.99,De Baarsjes - Oud-West,0.1643835616438356,157.8986301369863
155,1225622,0.6,False,De Baarsjes - Oud-West,52.35936,4.86001,Entire home/apt,4,3,3,11,$160.00,5,30,True,0,0,4.92,False,,40.0,800.0,0.09,0.13,0.22,4.99,De Baarsjes - Oud-West,0.005479452054794521,176.78082191780823
156,1236227,1.0,True,Centrum-West,52.36646,4.88235,Entire home/apt,4,2,2,23,$434.00,1,365,True,2,3,4.52,False,,108.5,434.0,0.1,0.14,0.29,10.99,Centrum-West,0.0,517.1666666666666
157,1250364,0.15,False,De Pijp - Rivierenbuurt,52.35263,4.89093,Entire home/apt,4,3,3,10,$260.00,3,1125,True,0,0,4.84,False,,65.0,780.0,0.07,0.16,0.23,4.99,De Pijp - Rivierenbuurt,0.40821917808219177,260.0
158,1271700,0.44,False,De Baarsjes - Oud-West,52.36062,4.86901,Entire home/apt,4,3,3,10,$300.00,3,14,True,0,1,4.86,False,,75.0,900.0,0.13,0.23,0.23,4.99,De Baarsjes - Oud-West,0.00821917808219178,300.0
159,1272352,1.0,False,Bos en Lommer,52.37537,4.86019,Private room,2,1,1,7,$127.00,3,100,True,0,4,4.67,True,,63.5,381.0,0.07,0.13,0.15,4.99,Bos en Lommer,0.4449760765550239,131.58851674641147
160,1291054,1.0,False,Noord-West,52.42397,4.88864,Hotel room,2,1,1,1,$81.00,3,60,True,1,1,4.51,True,,40.5,243.0,0.06,0.11,0.16,4.99,Noord-West,0.7808219178082192,79.63835616438357
161,1311373,0.25,False,De Baarsjes - Oud-West,52.37108,4.87389,Entire home/apt,4,3,6,2,$280.00,4,1125,True,0,0,4.89,True,,70.0,1120.0,0.09,0.22,0.2,4.99,De Baarsjes - Oud-West,0.0136986301369863,289.05753424657536
162,1315392,0.6599999999999999,True,Centrum-West,52.38123,4.88619,Entire home/apt,2,1,1,4,$140.00,7,180,True,2,1,4.75,False,,70.0,980.0,0.06,0.16,0.15,4.99,Centrum-West,0.5123287671232877,106.5068493150685
163,1316990,0.53,True,Centrum-West,52.38145,4.8849,Entire home/apt,4,2,2,8,$196.00,7,180,True,2,2,4.82,False,,49.0,1372.0,0.06,0.17,0.19,4.99,Centrum-West,0.07945205479452055,182.6164383561644
164,1320353,0.25,True,Centrum-West,52.3815,4.88538,Entire home/apt,2,1,1,1,$110.00,7,180,True,12,0,4.9,False,,55.0,770.0,0.07,0.14,0.18,4.99,Centrum-West,0.684931506849315,113.3972602739726
165,1320438,0.17,True,Centrum-West,52.3814,4.88553,Entire home/apt,2,1,1,11,$125.00,7,180,True,4,0,4.88,False,,62.5,875.0,0.05,0.15,0.18,4.99,Centrum-West,0.6904109589041096,125.0
166,1321735,0.62,True,Centrum-West,52.38295,4.88765,Entire home/apt,3,2,2,6,$160.00,7,180,True,10,0,4.62,False,,53.33,1120.0,0.07,0.14,0.19,4.99,Centrum-West,0.6465753424657534,108.06027397260274
167,1331157,0.29,False,IJburg - Zeeburgereiland,52.34861,5.00784,Entire home/apt,4,3,3,9,$193.00,3,14,True,0,0,4.87,False,,48.25,579.0,0.08,0.18,0.2,4.99,IJburg - Zeeburgereiland,0.4410958904109589,192.6027397260274
168,1338633,0.38,False,Oud-Noord,52.39319,4.9435,Private room,1,1,1,5,$59.00,4,5,True,1,1,4.19,False,,59.0,236.0,0.06,0.14,0.16,2.99,Oud-Noord,0.2876712328767123,59.0
169,1354077,0.0,False,Centrum-Oost,52.37141,4.90353,Entire home/apt,4,2,2,5,$135.00,3,1125,True,0,0,4.43,False,,33.75,405.0,0.07,0.15,0.2,4.99,Centrum-Oost,0.0,135.0
170,1364013,0.27,False,De Baarsjes - Oud-West,52.36055,4.8532,Entire home/apt,4,3,4,5,$111.00,4,23,True,14,0,4.7,False,,27.75,444.0,0.05,0.16,0.19,4.99,De Baarsjes - Oud-West,0.4547945205479452,118.3972602739726
171,1366058,0.56,False,Oud-Noord,52.38295,4.9152,Entire home/apt,4,2,2,9,$159.00,5,29,True,0,0,4.83,False,,39.75,795.0,0.08,0.12,0.19,4.99,Oud-Noord,0.0,158.54794520547946
172,1375601,0.67,False,De Baarsjes - Oud-West,52.36104,4.85778,Private room,2,1,1,6,$187.00,3,365,True,5,2,5.0,False,,93.5,561.0,0.08,0.24,0.23,4.99,De Baarsjes - Oud-West,0.09917355371900827,186.7382920110193
173,1383369,0.68,False,Westerpark,52.38069,4.86826,Entire home/apt,3,1,1,1,$100.00,4,500,True,5,2,4.75,False,,33.33,400.0,0.08,0.16,0.17,4.99,Westerpark,0.0136986301369863,102.1917808219178
174,1383494,0.29,False,Oostelijk Havengebied - Indische Buurt,52.36482231096632,4.9332502266687,Entire home/apt,2,1,1,8,$60.00,30,31,True,0,0,4.71,False,,30.0,1800.0,0.05,0.11,0.16,2.99,Oostelijk Havengebied - Indische Buurt,0.4246575342465753,88.66027397260274
175,1394668,0.9,False,De Baarsjes - Oud-West,52.37154,4.852,Private room,2,1,2,5,$88.00,3,7,True,0,5,4.9,False,,44.0,264.0,0.06,0.11,0.15,4.99,De Baarsjes - Oud-West,0.0,87.84931506849315
176,1397317,0.9299999999999999,False,De Pijp - Rivierenbuurt,52.35781,4.90529,Entire home/apt,4,2,2,10,$186.00,3,19,True,1,0,4.85,False,,46.5,558.0,0.1,0.14,0.19,4.99,De Pijp - Rivierenbuurt,0.021917808219178082,255.2082191780822
177,1408035,0.67,False,De Aker - Nieuw Sloten,52.34255,4.80578,Shared room,1,1,3,4,$50.00,3,3,True,0,0,4.199999999999999,False,,50.0,150.0,0.05,0.12,0.16,2.99,De Aker - Nieuw Sloten,0.0,50.0
178,1427610,0.67,False,Geuzenveld - Slotermeer,52.38277,4.80351,Entire home/apt,4,2,2,7,$100.00,5,1125,True,0,0,5.0,False,,25.0,500.0,0.05,0.14,0.15,4.99,Geuzenveld - Slotermeer,0.01643835616438356,124.4958904109589
179,1447217,1.0,True,Bos en Lommer,52.37591,4.8479,Private room,2,1,1,2,$51.00,4,100,True,0,4,4.72,True,,25.5,204.0,0.06,0.07,0.14,2.99,Bos en Lommer,0.336986301369863,63.42191780821918
180,1468473,1.0,False,Bos en Lommer,52.37563,4.85014,Entire home/apt,2,1,1,8,$120.00,3,90,True,1,0,4.56,True,,60.0,360.0,0.06,0.15,0.12,4.99,Bos en Lommer,0.43561643835616437,115.15068493150685
181,1511360,0.6,False,De Baarsjes - Oud-West,52.3603,4.86692,Entire home/apt,2,1,1,9,$155.00,2,14,True,0,1,4.72,False,,77.5,310.0,0.08,0.12,0.2,4.99,De Baarsjes - Oud-West,0.0851063829787234,155.74468085106383
182,1514368,0.74,True,Centrum-Oost,52.361286,4.893265,Private room,4,1,2,14,$282.00,3,30,True,1,2,4.8,True,,70.5,846.0,0.13,0.07,0.29,4.99,Centrum-Oost,0.29310344827586204,305.3448275862069
183,1517398,0.59,False,Westerpark,52.38459,4.88058,Entire home/apt,4,2,1,9,$122.00,3,30,True,0,2,4.68,False,,30.5,366.0,0.07,0.13,0.15,4.99,Westerpark,0.34794520547945207,110.07671232876713
184,1523635,0.53,False,Centrum-West,52.37004,4.88501,Private room,2,1,1,8,$119.00,3,150,True,4,6,4.7,False,,59.5,357.0,0.06,0.13,0.18,4.99,Centrum-West,0.7342465753424657,126.41643835616438
185,1533103,0.67,False,Westerpark,52.37943,4.87031,Entire home/apt,2,1,1,11,$250.00,10,20,True,10,0,5.0,False,,125.0,2500.0,0.03,0.2,0.23,4.99,Westerpark,0.18082191780821918,246.93150684931507
186,1534317,1.0,True,Geuzenveld - Slotermeer,52.38399,4.83583,Private room,2,1,1,1,$82.00,4,30,True,6,4,4.79,False,,41.0,328.0,0.05,0.1,0.16,4.99,Geuzenveld - Slotermeer,0.9138888888888889,71.2388888888889
187,1566348,0.27,False,De Baarsjes - Oud-West,52.36992,4.85379,Entire home/apt,2,1,1,5,$103.00,3,30,True,0,0,4.85,False,,51.5,309.0,0.07,0.17,0.18,4.99,De Baarsjes - Oud-West,0.0,103.0
188,1568669,0.23,False,Watergraafsmeer,52.34336,4.9227,Entire home/apt,4,2,4,1,$105.00,4,14,True,0,0,4.74,False,,26.25,420.0,0.05,0.13,0.17,4.99,Watergraafsmeer,0.4547945205479452,111.58356164383562
